Domain,Subdomain,Forename,Lastname,Fullname,Type
PE,Mathematics (PE1),Sara,van de Geer,Sara van de Geer,Chair
PE,Mathematics (PE1),Elisabeth,Bouscaren,Elisabeth Bouscaren,Member
PE,Mathematics (PE1),Lucia,Caporaso,Lucia Caporaso,Member
PE,Mathematics (PE1),Alessandra,Celletti,Alessandra Celletti,Member
PE,Mathematics (PE1),Anthony,Davison,Anthony Davison,Member
PE,Mathematics (PE1),Pavel,Exner,Pavel Exner,Member
PE,Mathematics (PE1),Hélène,Frankowska,Hélène Frankowska,Member
PE,Mathematics (PE1),Friedrich,Götze,Friedrich Götze,Member
PE,Mathematics (PE1),Ansgar,Jüngel,Ansgar Jüngel,Member
PE,Mathematics (PE1),Radha,Kessar,Radha Kessar,Member
PE,Mathematics (PE1),Hans,Munthe-Kaas,Hans Munthe-Kaas,Member
PE,Mathematics (PE1),Jaroslav,Nesetril,Jaroslav Nesetril,Member
PE,Mathematics (PE1),Stefanie,Petermichl,Stefanie Petermichl,Member
PE,Mathematics (PE1),Wil,Schilders,Wil Schilders,Member
PE,Mathematics (PE1),András,Stipsicz,András Stipsicz,Member
PE,Fundamental Constituents of Matter (PE2),María,Borge,María José García Borge,Chair
PE,Fundamental Constituents of Matter (PE2),Cinzia,Da Via,Cinzia Da Via,Member
PE,Fundamental Constituents of Matter (PE2),Astrid,Eichhorn,Astrid Eichhorn,Member
PE,Fundamental Constituents of Matter (PE2),Wojciech,Gawlik,Wojciech Gawlik,Member
PE,Fundamental Constituents of Matter (PE2),Sven,Heinemeyer,Sven Heinemeyer,Member
PE,Fundamental Constituents of Matter (PE2),Ondřej,Klimo,Ondřej Klimo,Member
PE,Fundamental Constituents of Matter (PE2),José,Latorre,José Ignacio Latorre,Member
PE,Fundamental Constituents of Matter (PE2),Paolo,Mataloni,Paolo Mataloni,Member
PE,Fundamental Constituents of Matter (PE2),Giovanni,Modugno,Giovanni Modugno,Member
PE,Fundamental Constituents of Matter (PE2),Tatsuya,Nakada,Tatsuya Nakada,Member
PE,Fundamental Constituents of Matter (PE2),Hubert,Saleur,Hubert Saleur,Member
PE,Fundamental Constituents of Matter (PE2),Zdeněk,Stuchlík,Zdeněk Stuchlík,Member
PE,Fundamental Constituents of Matter (PE2),Šárka,Todorova,Šárka Todorova,Member
PE,Fundamental Constituents of Matter (PE2),Arkady,Tseytlin,Arkady Tseytlin,Member
PE,Condensed Matter Physics (PE3),Bernhard,Keimer,Bernhard Keimer,Chair
PE,Condensed Matter Physics (PE3),Eric,Akkermans,Eric Akkermans,Member
PE,Condensed Matter Physics (PE3),Alberta,Bonanni,Alberta Bonanni,Member
PE,Condensed Matter Physics (PE3),Rachel,Goldman,Rachel Goldman,Member
PE,Condensed Matter Physics (PE3),Dominique,Langevin,Dominique Langevin,Member
PE,Condensed Matter Physics (PE3),Saulius,Marcinkevicius,Saulius Marcinkevicius,Member
PE,Condensed Matter Physics (PE3),Titus,Neupert,Titus Neupert,Member
PE,Condensed Matter Physics (PE3),Theo,Rasing,Theo Rasing,Member
PE,Condensed Matter Physics (PE3),Francesco,Ricci,Francesco Ricci,Member
PE,Condensed Matter Physics (PE3),Sandro,Scandolo,Sandro Scandolo,Member
PE,Condensed Matter Physics (PE3),Christian,Schönenberger,Christian Schönenberger,Member
PE,Condensed Matter Physics (PE3),Julia,Yeomans,Julia Yeomans,Member
PE,Physical and Analytical Chemical Sciences (PE4),Malcolm,Levitt,Malcolm Levitt,Chair
PE,Physical and Analytical Chemical Sciences (PE4),Christopher,Brett,Christopher Brett,Member
PE,Physical and Analytical Chemical Sciences (PE4),Cecilia,Clementi,Cecilia Clementi,Member
PE,Physical and Analytical Chemical Sciences (PE4),Marco,Daturi,Marco Daturi,Member
PE,Physical and Analytical Chemical Sciences (PE4),Francesco,De Angelis,Francesco De Angelis,Member
PE,Physical and Analytical Chemical Sciences (PE4),Valérie,Gabelica,Valérie Gabelica,Member
PE,Physical and Analytical Chemical Sciences (PE4),Leticia,González,Leticia González,Member
PE,Physical and Analytical Chemical Sciences (PE4),Yurii,Gun'ko,Yurii Gun'ko,Member
