Forename,Lastname,Fullname,Type
Sara,van de Geer,Sara van de Geer,Chair
Elisabeth,Bouscaren,Elisabeth Bouscaren,Member
Lucia,Caporaso,Lucia Caporaso,Member
Alessandra,Celletti,Alessandra Celletti,Member
Anthony,Davison,Anthony Davison,Member
Pavel,Exner,Pavel Exner,Member
Hélène,Frankowska,Hélène Frankowska,Member
Friedrich,Götze,Friedrich Götze,Member
Ansgar,Jüngel,Ansgar Jüngel,Member
Radha,Kessar,Radha Kessar,Member
Hans,Munthe-Kaas,Hans Munthe-Kaas,Member
Jaroslav,Nesetril,Jaroslav Nesetril,Member
Stefanie,Petermichl,Stefanie Petermichl,Member
Wil,Schilders,Wil Schilders,Member
András,Stipsicz,András Stipsicz,Member
María,Borge,María José García Borge,Chair
Cinzia,Da Via,Cinzia Da Via,Member
Astrid,Eichhorn,Astrid Eichhorn,Member
Wojciech,Gawlik,Wojciech Gawlik,Member
Sven,Heinemeyer,Sven Heinemeyer,Member
Ondřej,Klimo,Ondřej Klimo,Member
José,Latorre,José Ignacio Latorre,Member
Paolo,Mataloni,Paolo Mataloni,Member
Giovanni,Modugno,Giovanni Modugno,Member
Tatsuya,Nakada,Tatsuya Nakada,Member
Hubert,Saleur,Hubert Saleur,Member
Zdeněk,Stuchlík,Zdeněk Stuchlík,Member
Šárka,Todorova,Šárka Todorova,Member
Arkady,Tseytlin,Arkady Tseytlin,Member
Bernhard,Keimer,Bernhard Keimer,Chair
Eric,Akkermans,Eric Akkermans,Member
Alberta,Bonanni,Alberta Bonanni,Member
Rachel,Goldman,Rachel Goldman,Member
Dominique,Langevin,Dominique Langevin,Member
Saulius,Marcinkevicius,Saulius Marcinkevicius,Member
Titus,Neupert,Titus Neupert,Member
Theo,Rasing,Theo Rasing,Member
Francesco,Ricci,Francesco Ricci,Member
Sandro,Scandolo,Sandro Scandolo,Member
Christian,Schönenberger,Christian Schönenberger,Member
Julia,Yeomans,Julia Yeomans,Member
Malcolm,Levitt,Malcolm Levitt,Chair
Christopher,Brett,Christopher Brett,Member
Cecilia,Clementi,Cecilia Clementi,Member
Marco,Daturi,Marco Daturi,Member
Francesco,De Angelis,Francesco De Angelis,Member
Valérie,Gabelica,Valérie Gabelica,Member
Leticia,González,Leticia González,Member
Yurii,Gun'ko,Yurii Gun'ko,Member
Ulrich,Keyser,Ulrich Keyser,Member
Janina,Kneipp,Janina Kneipp,Member
Jana,Roithová,Jana Roithová,Member
Petra,Rudolf,Petra Rudolf,Member
Kenneth,Ruud,Kenneth Ruud,Member
Annabella,Selloni,Annabella Selloni,Member
Bruno,Chaudret,Bruno Chaudret,Chair
Barbara,Chan,Barbara Chan,Member
Robert,Field,Robert Field,Member
Tomislav,Friscic,Tomislav Friscic,Member
Piet,Herdewyn,Piet Herdewyn,Member
Eva,Hevia,Eva Hevia,Member
Evamarie,Hey-Hawkins,Evamarie Hey-Hawkins,Member
Tanja,Junkers,Tanja Junkers,Member
Burkhard,König,Burkhard König,Member
Liberato,Manna,Liberato Manna,Member
Stefan,Matile,Stefan Matile,Member
Bert,Meijer,Bert Meijer,Member
Véronique,Michelet,Véronique Michelet,Member
Michal,Otyepka,Michal Otyepka,Member
Lydia,Wong,Lydia Wong,Member
Philippe,Palanque,Philippe Palanque,Chair
Srđan,Čapkun,Srđan Čapkun,Member
Susanne,Albers,Susanne Albers,Member
Ira,Assent,Ira Assent,Member
Ann,Blandford,Ann Blandford,Member
Colin,Boyd,Colin Alexander Boyd,Member
Lieven,Eeckhout,Lieven Eeckhout,Member
Thomas,Fahringer,Thomas Fahringer,Member
Aristides,Gionis,Aristides Gionis,Member
Iryna,Gurevych,Iryna Gurevych,Member
