Chair,Member,ERC-Date
Satoru Iwata,Luigi Ambrosio,2025
Satoru Iwata,Carolina Araujo,2025
Satoru Iwata,Boris Aronov,2025
Satoru Iwata,Stéphane Boucheron,2025
Satoru Iwata,Alice Guionnet,2025
Satoru Iwata,Gitta Kutyniok,2025
Satoru Iwata,Elon Lindenstrauss,2025
Satoru Iwata,Ilaria Perugia,2025
Satoru Iwata,Laura Maria Sangalli,2025
Satoru Iwata,Thomas Scanlon,2025
Satoru Iwata,Carola-Bibiane Schönlieb,2025
Satoru Iwata,Fabio Toninelli,2025
Satoru Iwata,Karen Vogtmann,2025
Satoru Iwata,Katrin Wendland,2025
Giulia Zanderighi,Eric Arnold Bergshoeff,2025
Giulia Zanderighi,Frédéric Chevy,2025
Giulia Zanderighi,Brigitte Cros,2025
Giulia Zanderighi,Péter Domokos,2025
Giulia Zanderighi,Aurél Gábris,2025
Giulia Zanderighi,Mariusz Gajda,2025
Giulia Zanderighi,Oldřich Kepka,2025
Giulia Zanderighi,Zohar Komargodski,2025
Giulia Zanderighi,Blaženka Melić,2025
Giulia Zanderighi,Werner Riegler,2025
Giulia Zanderighi,Oriol Romero Isart,2025
Giulia Zanderighi,Ewa Rondio,2025
Giulia Zanderighi,Concettina Sfienti,2025
Giulia Zanderighi,Katalin Varjú,2025
Giulia Zanderighi,Frank Verstraete,2025
Daniele Brida,M. Isabel Alonso,2025
Daniele Brida,Sergej Demokritov,2025
Daniele Brida,Daan Frenkel,2025
Daniele Brida,Maia Vergniory,2025
Daniele Brida,Juan Garrahan,2025
Daniele Brida,Julie Grollier,2025
Daniele Brida,Pertti Hakonen,2025
Daniele Brida,Paul Janmey,2025
Daniele Brida,Despina Louca,2025
Daniele Brida,Dragomir Neshev,2025
Daniele Brida,Marco Polini,2025
Daniele Brida,Jeroen Van den Brink,2025
Daniele Brida,Thorsten Wohland,2025
Daniele Brida,Emanuela Zaccarelli,2025
Dónal Leech,Sara Bals,2025
Dónal Leech,Perdita Barran,2025
Dónal Leech,Daniel Bélanger,2025
Dónal Leech,Ria Broer-Braam,2025
Dónal Leech,Michele Ceriotti,2025
Dónal Leech,Ilaria Ciofini,2025
Dónal Leech,Gaël de Paëpe,2025
Dónal Leech,Mariangela Di Donato,2025
Dónal Leech,Michael Lyons,2025
Dónal Leech,Steve Meech,2025
Dónal Leech,Arben Merkoçi,2025
Dónal Leech,Giulia Palermo,2025
Dónal Leech,Carsten Sönnichsen,2025
Dónal Leech,Martin Sterrer,2025
Dónal Leech,Hilde J. Venvik,2025
Patrice Simon,Simon Aldridge,2025
Patrice Simon,Ivet Bahar,2025
Patrice Simon,Anna Bernardi,2025
Patrice Simon,Wolfgang Binder,2025
Patrice Simon,Stephen Connon,2025
Patrice Simon,Christophe Detrembleur,2025
Patrice Simon,Vy Dong,2025
Patrice Simon,Mihaela Florea,2025
Patrice Simon,María Giménez López,2025
Patrice Simon,Silvia Giordani,2025
Patrice Simon,Nicolas Giuseppone,2025
Patrice Simon,Syuzanna Harutyunyan,2025
Patrice Simon,Sohini Kar-Narayan,2025
Patrice Simon,Christian Adam Olsen,2025
Patrice Simon,Laura Orian,2025
Patrice Simon,Tatjana N. Parac-Vogt,2025
Mateja Jamnik,Sophia Ananiadou,2025
Mateja Jamnik,Mirela Ben-Chen,2025
Mateja Jamnik,Levente Buttyán,2025
Mateja Jamnik,Ioannis Caragiannis,2025
Mateja Jamnik,Ronald de Wolf,2025
Mateja Jamnik,Derek Dreyer,2025
Mateja Jamnik,Luca Gambardella,2025
Mateja Jamnik,Oliver Kohlbacher,2025
Mateja Jamnik,Christoph Lampert,2025
Mateja Jamnik,Jiri Matas,2025
Mateja Jamnik,Laurence Nigay,2025
Mateja Jamnik,Dino Pedreschi,2025
Mateja Jamnik,Bart Preneel,2025
Mateja Jamnik,Jean-François Raskin,2025
Mateja Jamnik,Fabian Suchanek,2025
Mateja Jamnik,A. Murat Tekalp,2025
Mateja Jamnik,Emmanouel Varvarigos,2025
Heike Vallery,José Capmany,2025
Heike Vallery,Alessandro Chiuso,2025
Heike Vallery,Johan Driesen,2025
Heike Vallery,Raja Giryes,2025
Heike Vallery,Naira Hovakimyan,2025
Heike Vallery,Abbas Jamalipour,2025
Heike Vallery,Maud Marchal,2025
Heike Vallery,Giorgio Metta,2025
Heike Vallery,Frank Niklaus,2025
Heike Vallery,Josef Nossek,2025
Heike Vallery,Richard Penty,2025
Heike Vallery,Eva Rajo-Iglesias,2025
Heike Vallery,Maria Tenje,2025
Heike Vallery,Chi Tse,2025
Heike Vallery,James Wilkinson,2025
Heike Vallery,Honggang Zhang,2025
Yves Bamberger,Mehdi Ahmadian,2025
Yves Bamberger,Paulo Bartolo,2025
Yves Bamberger,Shekhar Bhansali,2025
Yves Bamberger,Davide Bigoni,2025
Yves Bamberger,Corinne Cabassud,2025
Yves Bamberger,Emiliano Cortés,2025
Yves Bamberger,Michael Havbro Faber,2025
Yves Bamberger,Nesreen Ghaddar,2025
Yves Bamberger,Hanna Isaksson,2025
Yves Bamberger,Saša Kenjereš,2025
Yves Bamberger,Eva María Martín Del Valle,2025
Yves Bamberger,Tuan Ngo,2025
Yves Bamberger,Kuo-Long Pan,2025
Yves Bamberger,Jesús Santamaría,2025
Yves Bamberger,Sauro Succi,2025
Yves Bamberger,Martin Wilkening,2025
Yves Bamberger,Xiaoying Zhuang,2025
Vicki Hansen,Fátima Abrantes,2025
Vicki Hansen,Natalie Bolfan,2025
Vicki Hansen,Mike Burton,2025
Vicki Hansen,Claudio Chiarabba,2025
Vicki Hansen,Olivier Evrard,2025
Vicki Hansen,Sandro Fuzzi,2025
Vicki Hansen,Corinna Hoose,2025
Vicki Hansen,Hauke Knud Marquardt,2025
Vicki Hansen,Mari Pihlatie,2025
Vicki Hansen,Enno Schefuß,2025
Vicki Hansen,Benjamin Smith,2025
Vicki Hansen,Thomas Spengler,2025
Vicki Hansen,Julienne Stroeve,2025
Vicki Hansen,Lena Merete Tallaksen,2025
Vicki Hansen,Cees van Westen,2025
Andy Shearer,Dave Z. Besson,2025
Andy Shearer,Scott Bolton,2025
Andy Shearer,José A. Caballero,2025
Andy Shearer,Vassilis Charmandaris,2025
Andy Shearer,Cristina Chiappini,2025
Andy Shearer,Zsolt Frei,2025
Andy Shearer,Amina Helmi,2025
Andy Shearer,Martin Kunz,2025
Andy Shearer,Maria Lugaro,2025
Andy Shearer,Francesca Matteucci,2025
Andy Shearer,Michele Moresco,2025
Andy Shearer,Clare Parnell,2025
Andy Shearer,Giovanna Tinetti,2025
Silvia Vignolini,Miguel Bessa,2025
Silvia Vignolini,Maria Bignozzi,2025
Silvia Vignolini,João Paulo Borges,2025
Silvia Vignolini,Ana Isabel Borrás Martos,2025
Silvia Vignolini,Tal Dvir,2025
Silvia Vignolini,Mari-Ann Einarsrud,2025
Silvia Vignolini,Paula Ferreira,2025
Silvia Vignolini,Carlos González,2025
Silvia Vignolini,Kim Jelfs,2025
Silvia Vignolini,Martin Kaltenbrunner,2025
Silvia Vignolini,Marion Merklein,2025
Silvia Vignolini,Monica Morales Masis,2025
Silvia Vignolini,Salvador Pané i Vidal,2025
Silvia Vignolini,Kiyonori Suzuki,2025
Silvia Vignolini,Christoph Weder,2025
Titia Sixma,Rumiana Dimova,2025
Titia Sixma,Robert Konrat,2025
Titia Sixma,Maja Köhn,2025
Titia Sixma,Ohad Medalia,2025
Titia Sixma,Erwin Peterman,2025
Titia Sixma,Claire Rougeulle,2025
Titia Sixma,Dina Schneidman,2025
Titia Sixma,Evi Soutoglou,2025
Titia Sixma,Herta Steinkeller,2025
Titia Sixma,Peter Tompa,2025
Titia Sixma,Alessandro Vannini,2025
Titia Sixma,Hans Wandall,2025
Titia Sixma,Marcin Nowotny,2025
Julius Fabian Brennecke,Stein Aerts,2025
Julius Fabian Brennecke,Haike Antelmann,2025
Julius Fabian Brennecke,Maria Ina Arnone,2025
Julius Fabian Brennecke,Marisa S. Bartolomei,2025
Julius Fabian Brennecke,Paola Chiarugi,2025
Julius Fabian Brennecke,Michal Holčapek,2025
Julius Fabian Brennecke,Quaid Morris,2025
Julius Fabian Brennecke,Sergey Nejentsev,2025
Julius Fabian Brennecke,Csaba Pál,2025
Julius Fabian Brennecke,Alexander van Oudenaarden,2025
Julius Fabian Brennecke,Oliver Stegle,2025
Julius Fabian Brennecke,Karin Schumacher,2025
Daniel Gerlich,Maria Elena Torres Padilla,2025
Daniel Gerlich,Buzz Baum,2025
Daniel Gerlich,Eva Benkova,2025
Daniel Gerlich,Zbyněk Kozmik,2025
Daniel Gerlich,Andreas Mayer,2025
Daniel Gerlich,Caren Norden,2025
Daniel Gerlich,Eugenia (Jenny) Russinova,2025
Daniel Gerlich,Carmine Settembre,2025
Daniel Gerlich,Francesca Spagnoli,2025
Daniel Gerlich,Magali Suzanne,2025
Daniel Gerlich,Manuel Thery,2025
Daniel Gerlich,Iva Tolic,2025
Daniel Gerlich,Aleksandra Trifunovic,2025
Rong Tian,Reuven Agami,2025
Rong Tian,Rami Aqeilan,2025
Rong Tian,Gabriele Bergers,2025
Rong Tian,Wei Chen,2025
Rong Tian,Helene Duez,2025
Rong Tian,Christian Frezza,2025
