Lastname,Forename,Subdomain,Type,ERC-Date,Panel
Sofia,Charlotta Olhede,Mathematics (PE1),Chair,2026,PE1
Martina,Knoop,Fundamental Constituents of Matter (PE2),Chair,2026,PE2
Silke,Biermann,Condensed Matter Physics (PE3),Chair,2026,PE3
Marco,Musiani,Physical and Analytical Chemical Sciences (PE4),Chair,2026,PE4
Janine,Cossy,Synthetic Chemistry and Materials (PE5),Chair,2026,PE5
Enrico,Motta,Computer Science and Informatics (PE6),Chair,2026,PE6
Jerome,Faist,Systems and Communication Engineering (PE7),Chair,2026,PE7
Laoise,McNamara,Products and Processes Engineering (PE8),Chair,2026,PE8
Gianfranco,Bertone,Universe Sciences (PE9),Chair,2026,PE9
Veronique,Dehant,Earth System Science (PE10),Chair,2026,PE10
Maria,Antonietta Loi,Materials Engineering (PE11),Chair,2026,PE11
Sophie,Janssens,"Molecules of Life: Biological Mechanisms, Structures and Functions (LS1)",Chair,2026,LS1
Alison,G. Smith,Integrative Biology: from Genes and Genomes to System (LS2),Chair,2026,LS2
Dolf,Weijers,"Cell Biology, Development, Stem Cells and Regeneration (LS3)",Chair,2026,LS3
Caroline,Hill,"Physiology in Health, Disease and Ageing (LS4)",Chair,2026,LS4
Brigitte,Malgrange,Neuroscience and Disorders of the Nervous System (LS5),Chair,2026,LS5
Dominique,Soldati-Favre,"Immunity, Infection, and Immunotherapy (LS6)",Chair,2026,LS6
Emmanuel,Delamarche,"Prevention, Diagnosis and Treatment of Human Diseases (LS7)",Chair,2026,LS7
Graham,Budd,"Environmental Biology, Ecology and Evolution (LS8)",Chair,2026,LS8
Katja,Schenke-Layland,Biotechnology and Biosystems Engineering (LS9),Chair,2026,LS9
Victor,Martínez de Albéniz,"Individuals, Markets and Organisations (SH1)",Chair,2026,SH1
Gail,McElroy,"Institutions, Governance and Legal Systems (SH2)",Chair,2026,SH2
Henrik,Erdman Vigh,The Social World and Its Interactions (SH3),Chair,2026,SH3
Susan,Branje,The Human Mind and Its Complexity (SH4),Chair,2026,SH4
Jan,Opsomer,Texts and Concept (SH5),Chair,2026,SH5
Stephanie,Wynne-Jones,The Study of the Human Past (SH6),Chair,2026,SH6
Rob,Kitchin,"Human Mobility, Environment, and Space (SH7)",Chair,2026,SH7
John,Nguyet Erni,Studies of Cultures and Arts (SH8),Chair,2026,SH8
