Lastname,Forename,Subdomain,Type
Geer,Sara van de,Mathematics (PE1),Chair
Borge,María José García,Fundamental Constituents of Matter (PE2),Chair
Bouscaren,Elisabeth,Mathematics (PE1),Member
Via,Cinzia Da,Fundamental Constituents of Matter (PE2),Member
Caporaso,Lucia,Mathematics (PE1),Member
Eichhorn,Astrid,Fundamental Constituents of Matter (PE2),Member
Celletti,Alessandra,Mathematics (PE1),Member
Gawlik,Wojciech,Fundamental Constituents of Matter (PE2),Member
Davison,Anthony,Mathematics (PE1),Member
Heinemeyer,Sven,Fundamental Constituents of Matter (PE2),Member
Exner,Pavel,Mathematics (PE1),Member
Klimo,Ondřej,Fundamental Constituents of Matter (PE2),Member
Frankowska,Hélène,Mathematics (PE1),Member
Latorre,José Ignacio,Fundamental Constituents of Matter (PE2),Member
Götze,Friedrich,Mathematics (PE1),Member
Mataloni,Paolo,Fundamental Constituents of Matter (PE2),Member
Jüngel,Ansgar,Mathematics (PE1),Member
Modugno,Giovanni,Fundamental Constituents of Matter (PE2),Member
Kessar,Radha,Mathematics (PE1),Member
Nakada,Tatsuya,Fundamental Constituents of Matter (PE2),Member
Munthe-Kaas,Hans,Mathematics (PE1),Member
Saleur,Hubert,Fundamental Constituents of Matter (PE2),Member
Nesetril,Jaroslav,Mathematics (PE1),Member
Stuchlík,Zdeněk,Fundamental Constituents of Matter (PE2),Member
Petermichl,Stefanie,Mathematics (PE1),Member
Todorova,Šárka,Fundamental Constituents of Matter (PE2),Member
Schilders,Wil,Mathematics (PE1),Member
Tseytlin,Arkady,Fundamental Constituents of Matter (PE2),Member
András,,Mathematics (PE1),Member
Stipsicz,,Fundamental Constituents of Matter (PE2),Member
Keimer,Bernhard,Condensed Matter Physics (PE3),Chair
Levitt,Malcolm,Physical and Analytical Chemical Sciences (PE4),Chair
Akkermans,Eric,Condensed Matter Physics (PE3),Member
Brett,Christopher,Physical and Analytical Chemical Sciences (PE4),Member
Bonanni,Alberta,Condensed Matter Physics (PE3),Member
Clementi,Cecilia,Physical and Analytical Chemical Sciences (PE4),Member
Goldman,Rachel,Condensed Matter Physics (PE3),Member
Daturi,Marco,Physical and Analytical Chemical Sciences (PE4),Member
Langevin,Dominique,Condensed Matter Physics (PE3),Member
Angelis,Francesco De,Physical and Analytical Chemical Sciences (PE4),Member
Marcinkevicius,Saulius,Condensed Matter Physics (PE3),Member
Gabelica,Valérie,Physical and Analytical Chemical Sciences (PE4),Member
